sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report,report_date
1261,"Rehabilitation, upgradation & widening of existing highway to 2L/4LPS Rigid Pavement of NH 160 section- Phaltan to Mhaishal near Karnataka Border including Tasgaon Bypass, from existing chainage Km 301/430 to Km 458/415 in the State of Maharashtra- Package-II & Package III combined- starting from existing chainage Km 341/300 to Km 394/130 and design chainage Km 340/250 at Dahiwadi Village to Km 392/950 ending at Vita Village in the State of Maharashtra on EPC Mode.",MoRTH,617978,Maharashtra,2024-03,2025-05,2027-05,2027-05,631.76,631.76,187.59,85.0,125,June 2026,FlashReport_June_2026.pdf,2026-06
1187,"Rehabilitation, upgradation & widening of existing highway to 2L/4LPS Rigid Pavement of NH 160 section- Phaltan to Mhaishal near Karnataka Border including Tasgaon Bypass, from existing chainage Km 301/430 to Km 458/415 in the State of Maharashtra- Package-II & Package III combined- starting from existing chainage Km 341/300 to Km 394/130 and design chainage Km 340/250 at Dahiwadi Village to Km 392/950 ending at Vita Village in the State of Maharashtra on EPC Mode.",MoRTH,617978,Maharashtra,2024-03,2025-05,2027-05,2027-05,631.76,631.76,213.18,85.0,117,July 2026,FlashReport_July_2026.pdf,2026-07
1330,"Rehabilitation, upgradation & widening of existing highway to 2L/4LPS Rigid Pavement of NH 160 section- Phaltan to Mhaisal near Karnataka Border including Tasgaon Bypass, from existing chainage Km 301/430 to Km 458/415 in the State of Maharashtra. Package-I starting from existing chainage Km 301/430 at Phaltan Village Junction of Phaltan Baramati Road Design Chainage -301/430km & ending at existing chainage Km 341/300 Dahiwadi Village Bus Stop Design chainage Km 340466km in the S",MoRTH,617979,Maharashtra,2024-03,2025-05,2027-05,2026-11,533.76,533.76,0.0,68.95,124,April 2026,FlashReport_April2026.pdf,2026-04
1339,"Rehabilitation, upgradation & widening of existing highway to 2L/4LPS Rigid Pavement of NH 160 section- Phaltan to Mhaisal near Karnataka Border including Tasgaon Bypass, from existing chainage Km 301/430 to Km 458/415 in the State of Maharashtra. Package-I starting from existing chainage Km 301/430 at Phaltan Village Junction of Phaltan Baramati Road Design Chainage -301/430km & ending at existing chainage Km 341/300 Dahiwadi Village Bus Stop Design chainage Km 340466km in the S",MoRTH,617979,Maharashtra,2024-03,2025-05,2027-05,2026-11,533.76,533.76,0.0,65.57,124,May 2026,FlashReport_May2026.pdf,2026-05
1262,"Rehabilitation, upgradation & widening of existing highway to 2L/4LPS Rigid Pavement of NH 160 section- Phaltan to Mhaisal near Karnataka Border including Tasgaon Bypass, from existing chainage Km 301/430 to Km 458/415 in the State of Maharashtra. Package-I starting from existing chainage Km 301/430 at Phaltan Village Junction of Phaltan Baramati Road Design Chainage -301/430km & ending at existing chainage Km 341/300 Dahiwadi Village Bus Stop Design chainage Km 340466km in the S",MoRTH,617979,Maharashtra,2024-03,2025-05,2027-05,2026-11,533.76,533.76,0.0,72.05,125,June 2026,FlashReport_June_2026.pdf,2026-06
1188,"Rehabilitation, upgradation & widening of existing highway to 2L/4LPS Rigid Pavement of NH 160 section- Phaltan to Mhaisal near Karnataka Border including Tasgaon Bypass, from existing chainage Km 301/430 to Km 458/415 in the State of Maharashtra. Package-I starting from existing chainage Km 301/430 at Phaltan Village Junction of Phaltan Baramati Road Design Chainage -301/430km & ending at existing chainage Km 341/300 Dahiwadi Village Bus Stop Design chainage Km 340466km in the S",MoRTH,617979,Maharashtra,2024-03,2025-05,2027-05,2026-11,533.76,533.76,0.0,74.29,117,July 2026,FlashReport_July_2026.pdf,2026-07
1713,Construction of six lane elevated corridor from km 7.950 Uppal to km 14.200 of NH- 163 to De-Congest the urban limits of Hyderabad-Bhoopalapatnam section on EPC mode in the state of Telangana,MoRTH,617980,Telangana,2018-03,2018-07,2020-07,2026-10,626.76,626.76,16.13,51.7,146,April 2026,FlashReport_April2026.pdf,2026-04
1725,Construction of six lane elevated corridor from km 7.950 Uppal to km 14.200 of NH- 163 to De-Congest the urban limits of Hyderabad-Bhoopalapatnam section on EPC mode in the state of Telangana,MoRTH,617980,Telangana,2018-03,2018-07,2020-07,2026-10,626.76,626.76,16.13,52.32,146,May 2026,FlashReport_May2026.pdf,2026-05
1606,Construction of six lane elevated corridor from km 7.950 Uppal to km 14.200 of NH- 163 to De-Congest the urban limits of Hyderabad-Bhoopalapatnam section on EPC mode in the state of Telangana,MoRTH,617980,Telangana,2018-03,2018-07,2020-07,2026-10,626.76,626.76,19.3,53.01,145,June 2026,FlashReport_June_2026.pdf,2026-06
1524,Construction of six lane elevated corridor from km 7.950 Uppal to km 14.200 of NH- 163 to De-Congest the urban limits of Hyderabad-Bhoopalapatnam section on EPC mode in the state of Telangana,MoRTH,617980,Telangana,2018-03,2018-07,2020-07,2027-12,626.76,626.76,24.4,54.26,137,July 2026,FlashReport_July_2026.pdf,2026-07
1714,Widening to Two with Paved shoulders from Km 59.500 to Km 132.033 of Manneguda- Ravunapally section of NH-163 Erstwhile SH-4 in the State of Telangana on EPC mode under NH O Annual Plan 2016-17,MoRTH,617981,Telangana,2017-03,2017-05,2019-05,2026-05,359.0,359.0,0.0,99.92,146,April 2026,FlashReport_April2026.pdf,2026-04
1726,Widening to Two with Paved shoulders from Km 59.500 to Km 132.033 of Manneguda- Ravunapally section of NH-163 Erstwhile SH-4 in the State of Telangana on EPC mode under NH O Annual Plan 2016-17,MoRTH,617981,Telangana,2017-03,2017-05,2019-05,2026-05,359.0,359.0,0.0,99.92,146,May 2026,FlashReport_May2026.pdf,2026-05
1715,Widening and strengthening of existing 2-lane to 2- lane with paved shoulders from km 159/0 to 165/4 and 186/0 to 215/0 of NH-163 on EPC mode int the state of Telangana,MoRTH,617982,Telangana,2018-01,2018-06,2019-11,2020-12,230.03,230.03,0.0,0.0,146,April 2026,FlashReport_April2026.pdf,2026-04
1727,Widening and strengthening of existing 2-lane to 2- lane with paved shoulders from km 159/0 to 165/4 and 186/0 to 215/0 of NH-163 on EPC mode int the state of Telangana,MoRTH,617982,Telangana,2018-01,2018-06,2019-11,2020-12,230.03,230.03,0.0,0.0,147,May 2026,FlashReport_May2026.pdf,2026-05
1716,Widening & Strengthening of Existing 2LPS to 4 lane PS from Km 150000 to Km 159000 and Km 165400 to Km 186000 of NH-163 old NH-202 under NH O for the year 2020-21 on EPC Mode in the state of Telangana.,MoRTH,617983,Telangana,2021-03,2022-07,2024-07,2026-06,317.19,300.56,175.26,87.0,147,April 2026,FlashReport_April2026.pdf,2026-04
1728,Widening & Strengthening of Existing 2LPS to 4 lane PS from Km 150000 to Km 159000 and Km 165400 to Km 186000 of NH-163 old NH-202 under NH O for the year 2020-21 on EPC Mode in the state of Telangana.,MoRTH,617983,Telangana,2021-03,2022-07,2024-07,2026-06,317.19,300.56,175.28,88.0,147,May 2026,FlashReport_May2026.pdf,2026-05
1607,Widening & Strengthening of Existing 2LPS to 4 lane PS from Km 150000 to Km 159000 and Km 165400 to Km 186000 of NH-163 old NH-202 under NH O for the year 2020-21 on EPC Mode in the state of Telangana.,MoRTH,617983,Telangana,2021-03,2022-07,2024-07,2026-07,317.19,300.56,190.76,90.0,145,June 2026,FlashReport_June_2026.pdf,2026-06
1525,Widening & Strengthening of Existing 2LPS to 4 lane PS from Km 150000 to Km 159000 and Km 165400 to Km 186000 of NH-163 old NH-202 under NH O for the year 2020-21 on EPC Mode in the state of Telangana.,MoRTH,617983,Telangana,2021-03,2022-07,2024-07,2026-08,317.19,300.56,190.86,91.0,137,July 2026,FlashReport_July_2026.pdf,2026-07
790,"Gudivada Town 2 RoB, and Road improvement NH-165",MoRTH,617984,Andhra Pradesh,2022-03,2023-05,2025-05,2026-11,317.22,317.22,0.0,73.46,93,April 2026,FlashReport_April2026.pdf,2026-04
792,"Gudivada Town 2 RoB, and Road improvement NH-165",MoRTH,617984,Andhra Pradesh,2022-03,2023-05,2025-05,2026-11,317.22,317.22,0.0,73.46,92,May 2026,FlashReport_May2026.pdf,2026-05
775,"Gudivada Town 2 RoB, and Road improvement NH-165",MoRTH,617984,Andhra Pradesh,2022-03,2023-05,2025-05,2027-03,317.22,317.22,0.0,75.2,96,June 2026,FlashReport_June_2026.pdf,2026-06
717,"Gudivada Town 2 RoB, and Road improvement NH-165",MoRTH,617984,Andhra Pradesh,2022-03,2023-05,2025-05,2027-03,317.22,317.22,158.64,75.2,89,July 2026,FlashReport_July_2026.pdf,2026-07
791,Widening to two lane with paved shoulders from Km 0/0 to 64/020 Pamarru to Akiveedu,MoRTH,617985,Andhra Pradesh,2020-03,2021-11,2023-11,2027-05,529.54,588.65,0.0,69.62,93,April 2026,FlashReport_April2026.pdf,2026-04
793,Widening to two lane with paved shoulders from Km 0/0 to 64/020 Pamarru to Akiveedu,MoRTH,617985,Andhra Pradesh,2020-03,2021-11,2023-11,2027-05,529.54,588.65,0.0,69.62,92,May 2026,FlashReport_May2026.pdf,2026-05
776,Widening to two lane with paved shoulders from Km 0/0 to 64/020 Pamarru to Akiveedu,MoRTH,617985,Andhra Pradesh,2020-03,2021-11,2023-11,2027-05,529.54,588.65,0.0,74.41,96,June 2026,FlashReport_June_2026.pdf,2026-06
718,Widening to two lane with paved shoulders from Km 0/0 to 64/020 Pamarru to Akiveedu,MoRTH,617985,Andhra Pradesh,2020-03,2021-11,2023-11,2027-05,529.54,588.65,248.31,74.41,89,July 2026,FlashReport_July_2026.pdf,2026-07
792,Kurnool/Kadapa Border-Jammalamadugu section of NH-167K i.e. Design Ch. Km 248010 to km 269900 to 2,MoRTH,617986,Andhra Pradesh,2023-03,2024-12,2026-12,2026-12,292.63,292.63,0.0,82.57,93,April 2026,FlashReport_April2026.pdf,2026-04
794,Kurnool/Kadapa Border-Jammalamadugu section of NH-167K i.e. Design Ch. Km 248010 to km 269900 to 2,MoRTH,617986,Andhra Pradesh,2023-03,2024-12,2026-12,2026-12,292.63,292.63,0.0,90.97,92,May 2026,FlashReport_May2026.pdf,2026-05
777,Kurnool/Kadapa Border-Jammalamadugu section of NH-167K i.e. Design Ch. Km 248010 to km 269900 to 2,MoRTH,617986,Andhra Pradesh,2023-03,2024-12,2026-12,2026-12,292.63,292.63,0.0,95.77,96,June 2026,FlashReport_June_2026.pdf,2026-06
719,Kurnool/Kadapa Border-Jammalamadugu section of NH-167K i.e. Design Ch. Km 248010 to km 269900 to 2,MoRTH,617986,Andhra Pradesh,2023-03,2024-12,2026-12,2026-12,292.63,292.63,0.0,95.77,89,July 2026,FlashReport_July_2026.pdf,2026-07
793,Nandyala-Kurnool/Kadapa Border section of NH-167K i.e. Km 186/000 to Km 250/000Design Ch.186000 to 248010 to 2LPS,MoRTH,617987,Andhra Pradesh,2024-10,2025-09,2027-09,2027-09,691.81,691.81,0.0,40.49,93,April 2026,FlashReport_April2026.pdf,2026-04
795,Nandyala-Kurnool/Kadapa Border section of NH-167K i.e. Km 186/000 to Km 250/000Design Ch.186000 to 248010 to 2LPS,MoRTH,617987,Andhra Pradesh,2024-10,2025-09,2027-09,2027-09,691.81,691.81,0.0,42.28,92,May 2026,FlashReport_May2026.pdf,2026-05
778,Nandyala-Kurnool/Kadapa Border section of NH-167K i.e. Km 186/000 to Km 250/000Design Ch.186000 to 248010 to 2LPS,MoRTH,617987,Andhra Pradesh,2024-10,2025-09,2027-09,2027-09,691.81,691.81,0.0,46.45,96,June 2026,FlashReport_June_2026.pdf,2026-06
720,Nandyala-Kurnool/Kadapa Border section of NH-167K i.e. Km 186/000 to Km 250/000Design Ch.186000 to 248010 to 2LPS,MoRTH,617987,Andhra Pradesh,2024-10,2025-09,2027-09,2027-09,691.81,691.81,0.0,49.71,89,July 2026,FlashReport_July_2026.pdf,2026-07
794,Sangameswaram - Atmakuru section from Km 96 to Km 124 & Velegodu- Nandyal section including Nandyal Bypass from Km 143/6 to 185/9 NH-167K,MoRTH,617988,Andhra Pradesh,2024-10,2025-07,2027-07,2027-07,776.17,644.14,0.0,20.94,93,April 2026,FlashReport_April2026.pdf,2026-04
796,Sangameswaram - Atmakuru section from Km 96 to Km 124 & Velegodu- Nandyal section including Nandyal Bypass from Km 143/6 to 185/9 NH-167K,MoRTH,617988,Andhra Pradesh,2024-10,2025-07,2027-07,2027-07,776.17,644.14,0.0,23.38,92,May 2026,FlashReport_May2026.pdf,2026-05
779,Sangameswaram - Atmakuru section from Km 96 to Km 124 & Velegodu- Nandyal section including Nandyal Bypass from Km 143/6 to 185/9 NH-167K,MoRTH,617988,Andhra Pradesh,2024-10,2025-07,2027-07,2027-07,776.17,644.14,0.0,35.6,96,June 2026,FlashReport_June_2026.pdf,2026-06
721,Sangameswaram - Atmakuru section from Km 96 to Km 124 & Velegodu- Nandyal section including Nandyal Bypass from Km 143/6 to 185/9 NH-167K,MoRTH,617988,Andhra Pradesh,2024-10,2025-07,2027-07,2027-07,776.17,644.14,0.0,41.98,90,July 2026,FlashReport_July_2026.pdf,2026-07
1177,Construction of Major Bridge at Km.180.865 across river Krishna on NH 167 Hagari Jadcherla section,MoRTH,617989,Karnataka,2019-03,2019-05,2021-11,2026-03,157.32,187.61,103.33,68.0,115,April 2026,FlashReport_April2026.pdf,2026-04
1184,Construction of Major Bridge at Km.180.865 across river Krishna on NH 167 Hagari Jadcherla section,MoRTH,617989,Karnataka,2019-03,2019-05,2021-11,2027-04,157.32,187.61,103.33,69.0,115,May 2026,FlashReport_May2026.pdf,2026-05
1118,Construction of Major Bridge at Km.180.865 across river Krishna on NH 167 Hagari Jadcherla section,MoRTH,617989,Karnataka,2019-03,2019-05,2021-11,2027-04,157.32,187.61,103.33,69.0,116,June 2026,FlashReport_June_2026.pdf,2026-06
1046,Construction of Major Bridge at Km.180.865 across river Krishna on NH 167 Hagari Jadcherla section,MoRTH,617989,Karnataka,2019-03,2019-05,2021-11,2027-04,157.32,187.61,103.33,69.0,109,July 2026,FlashReport_July_2026.pdf,2026-07
795,Construction of bypass road to Adoni town connecting NH-167 Hagari - Jadcharla road from km.62/700 to 71/400 in Kurnool District in the State of Andhra Pradesh.,MoRTH,617990,Andhra Pradesh,2023-03,2024-02,2025-11,,242.0,242.0,78.49,95.94,93,April 2026,FlashReport_April2026.pdf,2026-04
797,Construction of bypass road to Adoni town connecting NH-167 Hagari - Jadcharla road from km.62/700 to 71/400 in Kurnool District in the State of Andhra Pradesh.,MoRTH,617990,Andhra Pradesh,2023-03,2024-02,2025-11,,242.0,242.0,78.49,95.94,92,May 2026,FlashReport_May2026.pdf,2026-05
796,"Rehabilitation and up-gradation of NH-167 from Km 14/900 to Km70/000 Design Ch. 14/900 to 69/700 Chintakunta to Adoni section to two lane with paved shoulders in the State of Andhra Pradesh under Corridor Approach through Engineering, Procurement",MoRTH,617991,Andhra Pradesh,2016-11,2017-05,2019-05,2026-10,290.15,290.15,140.23,91.9,93,April 2026,FlashReport_April2026.pdf,2026-04
798,"Rehabilitation and up-gradation of NH-167 from Km 14/900 to Km70/000 Design Ch. 14/900 to 69/700 Chintakunta to Adoni section to two lane with paved shoulders in the State of Andhra Pradesh under Corridor Approach through Engineering, Procurement",MoRTH,617991,Andhra Pradesh,2016-11,2017-05,2019-05,2026-10,290.15,290.15,140.23,91.9,92,May 2026,FlashReport_May2026.pdf,2026-05
780,"Rehabilitation and up-gradation of NH-167 from Km 14/900 to Km70/000 Design Ch. 14/900 to 69/700 Chintakunta to Adoni section to two lane with paved shoulders in the State of Andhra Pradesh under Corridor Approach through Engineering, Procurement",MoRTH,617991,Andhra Pradesh,2016-11,2017-05,2019-05,2026-12,290.15,290.15,141.83,91.9,96,June 2026,FlashReport_June_2026.pdf,2026-06
722,"Rehabilitation and up-gradation of NH-167 from Km 14/900 to Km70/000 Design Ch. 14/900 to 69/700 Chintakunta to Adoni section to two lane with paved shoulders in the State of Andhra Pradesh under Corridor Approach through Engineering, Procurement",MoRTH,617991,Andhra Pradesh,2016-11,2017-05,2019-05,2026-12,290.15,290.15,141.83,91.9,90,July 2026,FlashReport_July_2026.pdf,2026-07
1717,Rehabilitation & upgradation of NH - 167 from design km 187.723 to 234.434 Miryalaguda to Kodad section to two lane with paved shoulder on EPC mode in the state of Telangana,MoRTH,617992,Telangana,2018-03,2018-09,2020-09,2026-06,322.81,322.81,148.48,98.14,147,April 2026,FlashReport_April2026.pdf,2026-04
1729,Rehabilitation & upgradation of NH - 167 from design km 187.723 to 234.434 Miryalaguda to Kodad section to two lane with paved shoulder on EPC mode in the state of Telangana,MoRTH,617992,Telangana,2018-03,2018-09,2020-09,2026-06,322.81,322.81,148.48,98.14,147,May 2026,FlashReport_May2026.pdf,2026-05
1718,Rehabilitation and upgradation of NH-167 from design km 157.707 to 187.723 design length 30.016 km to two lane with paved shoulders of Alinagar-Miryalaguda Sec on EPC mode in the state of Telangana,MoRTH,617993,Telangana,2018-02,2018-05,2019-11,2026-06,220.28,220.28,0.0,97.74,147,April 2026,FlashReport_April2026.pdf,2026-04
1730,Rehabilitation and upgradation of NH-167 from design km 157.707 to 187.723 design length 30.016 km to two lane with paved shoulders of Alinagar-Miryalaguda Sec on EPC mode in the state of Telangana,MoRTH,617993,Telangana,2018-02,2018-05,2019-11,2026-06,220.28,220.28,0.0,97.74,147,May 2026,FlashReport_May2026.pdf,2026-05
1719,Rehabilitation and upgradation of NH-167 from design km 113.900 to 154.479 Mallepally Haliya section to two lane with paved shoulders on EPC mode in the stte of Telangana,MoRTH,617994,Telangana,2018-02,2018-06,2019-11,2025-12,294.13,257.61,239.25,88.22,147,April 2026,FlashReport_April2026.pdf,2026-04
1731,Rehabilitation and upgradation of NH-167 from design km 113.900 to 154.479 Mallepally Haliya section to two lane with paved shoulders on EPC mode in the stte of Telangana,MoRTH,617994,Telangana,2018-02,2018-06,2019-11,2025-12,294.13,257.61,239.25,88.22,147,May 2026,FlashReport_May2026.pdf,2026-05
1608,Rehabilitation and upgradation of NH-167 from design km 113.900 to 154.479 Mallepally Haliya section to two lane with paved shoulders on EPC mode in the stte of Telangana,MoRTH,617994,Telangana,2018-02,2018-06,2019-11,2025-12,294.13,257.61,244.16,88.22,145,June 2026,FlashReport_June_2026.pdf,2026-06
1526,Rehabilitation and upgradation of NH-167 from design km 113.900 to 154.479 Mallepally Haliya section to two lane with paved shoulders on EPC mode in the stte of Telangana,MoRTH,617994,Telangana,2018-02,2018-06,2019-11,2025-12,294.13,257.61,249.23,88.22,137,July 2026,FlashReport_July_2026.pdf,2026-07
1720,Widening to Two Lane with Paved Shoulders from Km 67.000 to Km 114.425 of Kalwakurthy- Mallapally Section of NH 167 Erstwhile section of SH 18 in the State of Telangana on EPC mode under NH O Annual Plan 2016-17,MoRTH,617995,Telangana,2017-01,2017-05,2019-05,2025-12,300.0,300.0,175.1,99.2,147,April 2026,FlashReport_April2026.pdf,2026-04
1732,Widening to Two Lane with Paved Shoulders from Km 67.000 to Km 114.425 of Kalwakurthy- Mallapally Section of NH 167 Erstwhile section of SH 18 in the State of Telangana on EPC mode under NH O Annual Plan 2016-17,MoRTH,617995,Telangana,2017-01,2017-05,2019-05,2025-12,300.0,300.0,175.1,99.2,147,May 2026,FlashReport_May2026.pdf,2026-05
1609,Widening to Two Lane with Paved Shoulders from Km 67.000 to Km 114.425 of Kalwakurthy- Mallapally Section of NH 167 Erstwhile section of SH 18 in the State of Telangana on EPC mode under NH O Annual Plan 2016-17,MoRTH,617995,Telangana,2017-01,2017-05,2019-05,2026-12,300.0,300.0,175.12,99.2,145,June 2026,FlashReport_June_2026.pdf,2026-06
1527,Widening to Two Lane with Paved Shoulders from Km 67.000 to Km 114.425 of Kalwakurthy- Mallapally Section of NH 167 Erstwhile section of SH 18 in the State of Telangana on EPC mode under NH O Annual Plan 2016-17,MoRTH,617995,Telangana,2017-01,2017-05,2019-05,2026-12,300.0,300.0,175.12,99.2,138,July 2026,FlashReport_July_2026.pdf,2026-07
1721,Widening to 2/4 Lane with paved shoulders from Km 182.120 to Km 227.600 of NH 167 on Haggari-Jadcherla Road on EPC mode under NHO in the state of Telangana,MoRTH,617996,Telangana,2016-10,2017-02,2019-02,2026-03,298.0,298.0,234.7,95.6,147,April 2026,FlashReport_April2026.pdf,2026-04
1733,Widening to 2/4 Lane with paved shoulders from Km 182.120 to Km 227.600 of NH 167 on Haggari-Jadcherla Road on EPC mode under NHO in the state of Telangana,MoRTH,617996,Telangana,2016-10,2017-02,2019-02,2026-03,298.0,298.0,234.7,95.6,147,May 2026,FlashReport_May2026.pdf,2026-05
1185,Widening of existing 2 lane to 4 lane with paved shoulder from Designed km 25.15 to km 56.70 Except Km 52.70 to 53.50 of NH-169 Nellisara Camp to Thirthahalli of NH- 169 on Shimoga-Mangalore section in the state of Karnataka on EPC mode under Annual plan 2022-23 NH-169-KNT-2022-23-978 dated 08.03.2023,MoRTH,617997,Karnataka,2023-03,2026-02,2028-02,2028-02,538.71,538.71,0.28,6.0,115,May 2026,FlashReport_May2026.pdf,2026-05
1119,Widening of existing 2 lane to 4 lane with paved shoulder from Designed km 25.15 to km 56.70 Except Km 52.70 to 53.50 of NH-169 Nellisara Camp to Thirthahalli of NH- 169 on Shimoga-Mangalore section in the state of Karnataka on EPC mode under Annual plan 2022-23 NH-169-KNT-2022-23-978 dated 08.03.2023,MoRTH,617997,Karnataka,2023-03,2026-02,2028-02,2028-02,538.71,538.71,14.63,6.0,117,June 2026,FlashReport_June_2026.pdf,2026-06
1047,Widening of existing 2 lane to 4 lane with paved shoulder from Designed km 25.15 to km 56.70 Except Km 52.70 to 53.50 of NH-169 Nellisara Camp to Thirthahalli of NH- 169 on Shimoga-Mangalore section in the state of Karnataka on EPC mode under Annual plan 2022-23 NH-169-KNT-2022-23-978 dated 08.03.2023,MoRTH,617997,Karnataka,2023-03,2026-02,2028-02,2028-02,538.71,538.71,20.63,6.0,109,July 2026,FlashReport_July_2026.pdf,2026-07
1178,Widening to existing 2 lane with paved Shoulder to 4 Lane with paved shoulder from design Km 153.00 to 168.27 Mala Gate to Karkala of NH -169 on Shimoga - Mangalore section in the state of Karnataka on EPC mode under Annula Plan 2021-22 Job No. NH-169-KNT-2021-22-949,MoRTH,617998,Karnataka,2022-03,2023-02,2025-02,2026-03,177.94,177.94,108.93,75.0,115,April 2026,FlashReport_April2026.pdf,2026-04
1186,Widening to existing 2 lane with paved Shoulder to 4 Lane with paved shoulder from design Km 153.00 to 168.27 Mala Gate to Karkala of NH -169 on Shimoga - Mangalore section in the state of Karnataka on EPC mode under Annula Plan 2021-22 Job No. NH-169-KNT-2021-22-949,MoRTH,617998,Karnataka,2022-03,2023-02,2025-02,2026-11,177.94,177.94,111.41,83.0,115,May 2026,FlashReport_May2026.pdf,2026-05
1120,Widening to existing 2 lane with paved Shoulder to 4 Lane with paved shoulder from design Km 153.00 to 168.27 Mala Gate to Karkala of NH -169 on Shimoga - Mangalore section in the state of Karnataka on EPC mode under Annula Plan 2021-22 Job No. NH-169-KNT-2021-22-949,MoRTH,617998,Karnataka,2022-03,2023-02,2025-02,2026-11,177.94,177.94,115.6,83.0,117,June 2026,FlashReport_June_2026.pdf,2026-06
1048,Widening to existing 2 lane with paved Shoulder to 4 Lane with paved shoulder from design Km 153.00 to 168.27 Mala Gate to Karkala of NH -169 on Shimoga - Mangalore section in the state of Karnataka on EPC mode under Annula Plan 2021-22 Job No. NH-169-KNT-2021-22-949,MoRTH,617998,Karnataka,2022-03,2023-02,2025-02,2026-11,177.94,177.94,115.6,83.0,109,July 2026,FlashReport_July_2026.pdf,2026-07
1179,Widening to 2LPS from Km 67 to Km 115 on Kadur-Hosadurga section NH 173 in the state of Karnataka NH-173-KNT-2022-23-980 dated 13.03.2023,MoRTH,617999,Karnataka,2023-03,2024-09,2026-04,2026-10,471.62,471.62,80.08,64.33,115,April 2026,FlashReport_April2026.pdf,2026-04
1187,Widening to 2LPS from Km 67 to Km 115 on Kadur-Hosadurga section NH 173 in the state of Karnataka NH-173-KNT-2022-23-980 dated 13.03.2023,MoRTH,617999,Karnataka,2023-03,2024-09,2026-04,2026-10,471.62,471.62,80.08,64.33,115,May 2026,FlashReport_May2026.pdf,2026-05
1121,Widening to 2LPS from Km 67 to Km 115 on Kadur-Hosadurga section NH 173 in the state of Karnataka NH-173-KNT-2022-23-980 dated 13.03.2023,MoRTH,617999,Karnataka,2023-03,2024-10,2026-05,2027-04,471.62,471.62,91.74,69.54,117,June 2026,FlashReport_June_2026.pdf,2026-06
1049,Widening to 2LPS from Km 67 to Km 115 on Kadur-Hosadurga section NH 173 in the state of Karnataka NH-173-KNT-2022-23-980 dated 13.03.2023,MoRTH,617999,Karnataka,2023-03,2024-10,2026-05,2027-04,471.62,471.62,91.74,69.54,109,July 2026,FlashReport_July_2026.pdf,2026-07
1180,Widening to 2-Lane with Paved Shoulders from Km 116.800 to 149.070Design Changes on Hosadurga - Holalkere Section of NH-173 in the State of Karnataka on EPC mode under Annual Plan 2021-22 Job no. NH-173-KNT-2021-22-946,MoRTH,618000,Karnataka,2022-03,2022-08,2024-02,2026-04,170.34,147.39,106.88,92.65,115,April 2026,FlashReport_April2026.pdf,2026-04
1188,Widening to 2-Lane with Paved Shoulders from Km 116.800 to 149.070Design Changes on Hosadurga - Holalkere Section of NH-173 in the State of Karnataka on EPC mode under Annual Plan 2021-22 Job no. NH-173-KNT-2021-22-946,MoRTH,618000,Karnataka,2022-03,2022-08,2024-02,2026-04,170.34,147.39,106.88,92.65,115,May 2026,FlashReport_May2026.pdf,2026-05
1122,Widening to 2-Lane with Paved Shoulders from Km 116.800 to 149.070Design Changes on Hosadurga - Holalkere Section of NH-173 in the State of Karnataka on EPC mode under Annual Plan 2021-22 Job no. NH-173-KNT-2021-22-946,MoRTH,618000,Karnataka,2022-03,2022-10,2024-02,2026-06,170.34,147.39,106.96,100.0,117,June 2026,FlashReport_June_2026.pdf,2026-06
1050,Widening to 2-Lane with Paved Shoulders from Km 116.800 to 149.070Design Changes on Hosadurga - Holalkere Section of NH-173 in the State of Karnataka on EPC mode under Annual Plan 2021-22 Job no. NH-173-KNT-2021-22-946,MoRTH,618000,Karnataka,2022-03,2022-10,2024-02,2026-06,170.34,147.39,111.33,100.0,109,July 2026,FlashReport_July_2026.pdf,2026-07
1722,"Construction of 4-lane flyover at Amberpet-X road, Hyderabad on NH-202 in the State of Telangana",MoRTH,618001,Telangana,2018-05,2021-06,2023-06,2026-06,216.53,265.88,154.05,92.1,147,April 2026,FlashReport_April2026.pdf,2026-04
1734,"Construction of 4-lane flyover at Amberpet-X road, Hyderabad on NH-202 in the State of Telangana",MoRTH,618001,Telangana,2018-05,2021-06,2023-06,2026-06,216.53,265.88,156.4,92.1,147,May 2026,FlashReport_May2026.pdf,2026-05
1610,"Construction of 4-lane flyover at Amberpet-X road, Hyderabad on NH-202 in the State of Telangana",MoRTH,618001,Telangana,2018-05,2021-06,2023-06,2026-06,216.53,265.88,172.02,92.1,145,June 2026,FlashReport_June_2026.pdf,2026-06
1528,"Construction of 4-lane flyover at Amberpet-X road, Hyderabad on NH-202 in the State of Telangana",MoRTH,618001,Telangana,2018-05,2021-06,2023-06,2026-06,216.53,265.88,172.17,92.1,138,July 2026,FlashReport_July_2026.pdf,2026-07
1548,Widening of existing single lane to intermediate lane road from Mokokchung to Chare via Dikhu in the state of Nagaland on EPC mode,MoRTH,618002,Nagaland,2021-02,2023-06,2025-06,,192.93,192.93,99.65,0.0,137,April 2026,FlashReport_April2026.pdf,2026-04
1559,Widening of existing single lane to intermediate lane road from Mokokchung to Chare via Dikhu in the state of Nagaland on EPC mode,MoRTH,618002,Nagaland,2021-02,2023-06,2025-06,,192.93,192.93,99.65,0.0,137,May 2026,FlashReport_May2026.pdf,2026-05
