project_code,risk_score,overall_risk,cost_risk_level,time_risk_level,num_warnings,explanation
701658,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 185.9% of original time elapsed, but only 47.8% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
701657,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 155.8% of original time elapsed, but only 27.1% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
707419,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 164.1% of original time elapsed, but only 27.8% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
617243,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (71.7% probability).

Early Warning:
Project requires closer monitoring."
617256,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (80.6% probability).

Early Warning:
Project requires closer monitoring."
706811,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (87.9% probability).

Early Warning:
Project requires closer monitoring."
709826,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (78.2% probability).

Early Warning:
Project requires closer monitoring."
400121,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (85.0% probability).

Early Warning:
Project requires closer monitoring."
617242,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (72.5% probability).

Early Warning:
Project requires closer monitoring."
617248,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (79.1% probability).

Early Warning:
Project requires closer monitoring."
617251,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 141.5% of original time elapsed, but only 34.6% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
400298,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 42.9% but physical progress is only 2.0% (Gap: 40.9%).
* Low progress near planned completion. 122.0% of original time elapsed, but only 2.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
611752,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 42.4% but physical progress is only 0.0% (Gap: 42.4%).
* Low progress near planned completion. 143.3% of original time elapsed, but only 0.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
611754,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 31.2% but physical progress is only 0.0% (Gap: 31.2%).
* Low progress near planned completion. 200.7% of original time elapsed, but only 0.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
612827,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 114.8% of original time elapsed, but only 21.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
616697,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (83.6% probability).

Early Warning:
Project requires closer monitoring."
705253,4,HIGH,LOW,HIGH,2,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (81.8% probability).
* Significant expenditure-progress mismatch. Expenditure is 171.1% but physical progress is only 75.0% (Gap: 96.1%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
616701,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 85.0% of original time elapsed, but only 1.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705572,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (73.4% probability).

Early Warning:
Project requires closer monitoring."
400254,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (92.9% probability).

Early Warning:
Project requires closer monitoring."
617231,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 108.4% of original time elapsed, but only 0.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705366,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (92.0% probability).

Early Warning:
Project requires closer monitoring."
705368,5,CRITICAL,MEDIUM,HIGH,4,"Overall Risk: CRITICAL

Reasons:
* High predicted schedule risk (73.2% probability).
* Significant expenditure-progress mismatch. Expenditure is 81.7% but physical progress is only 40.0% (Gap: 41.7%).
* Low progress near planned completion. 483.8% of original time elapsed, but only 40.0% physical progress.

Early Warning:
Multiple simultaneous warning indicators triggered. Project requires closer monitoring."
705373,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (90.8% probability).

Early Warning:
Project requires closer monitoring."
705450,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (93.8% probability).

Early Warning:
Project requires closer monitoring."
705526,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (95.7% probability).

Early Warning:
Project requires closer monitoring."
705527,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (95.6% probability).

Early Warning:
Project requires closer monitoring."
705528,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (96.7% probability).

Early Warning:
Project requires closer monitoring."
706759,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (93.9% probability).

Early Warning:
Project requires closer monitoring."
706860,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 756.4% of original time elapsed, but only 38.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
900874,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 386.7% of original time elapsed, but only 0.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
400220,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (88.8% probability).

Early Warning:
Project requires closer monitoring."
400291,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (83.5% probability).

Early Warning:
Project requires closer monitoring."
602792,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (87.0% probability).

Early Warning:
Project requires closer monitoring."
612815,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 89.5% of original time elapsed, but only 3.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705433,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (79.7% probability).

Early Warning:
Project requires closer monitoring."
705444,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (84.5% probability).

Early Warning:
Project requires closer monitoring."
709818,1,LOW,LOW,LOW,2,"Overall Risk: LOW

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 29.9% but physical progress is only 5.0% (Gap: 24.9%).
* Low progress near planned completion. 170.2% of original time elapsed, but only 5.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
709819,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 102.0% of original time elapsed, but only 10.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705583,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 56.1% but physical progress is only 23.0% (Gap: 33.1%).
* Low progress near planned completion. 158.0% of original time elapsed, but only 23.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
611918,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 94.9% of original time elapsed, but only 31.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
611943,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 157.5% of original time elapsed, but only 5.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
612072,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 57.0% but physical progress is only 23.0% (Gap: 34.0%).
* Low progress near planned completion. 113.8% of original time elapsed, but only 23.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705458,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 80.4% but physical progress is only 34.0% (Gap: 46.4%).
* Low progress near planned completion. 1895.1% of original time elapsed, but only 34.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
706763,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (77.2% probability).

Early Warning:
Project requires closer monitoring."
709813,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 100.0% but physical progress is only 22.0% (Gap: 78.0%).
* Low progress near planned completion. 145.0% of original time elapsed, but only 22.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
611884,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (85.6% probability).

Early Warning:
Project requires closer monitoring."
705785,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 72.9% but physical progress is only 14.0% (Gap: 58.9%).
* Low progress near planned completion. 846.7% of original time elapsed, but only 14.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
400023,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 314.4% of original time elapsed, but only 0.5% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705490,3,HIGH,LOW,HIGH,4,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (77.5% probability).
* Significant expenditure-progress mismatch. Expenditure is 61.4% but physical progress is only 35.0% (Gap: 26.4%).
* Low progress near planned completion. 138.3% of original time elapsed, but only 35.0% physical progress.

Early Warning:
Multiple simultaneous warning indicators triggered. Project requires closer monitoring."
705492,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (96.2% probability).

Early Warning:
Project requires closer monitoring."
705493,2,MEDIUM,LOW,MEDIUM,1,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 34.9% but physical progress is only 10.0% (Gap: 24.9%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705495,2,MEDIUM,LOW,HIGH,2,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (76.9% probability).
* Low progress near planned completion. 790.8% of original time elapsed, but only 35.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705496,2,MEDIUM,LOW,MEDIUM,1,"Overall Risk: MEDIUM

Reasons:
* Low progress near planned completion. 1154.8% of original time elapsed, but only 22.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705663,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (71.2% probability).

Early Warning:
Project requires closer monitoring."
705761,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 170.8% of original time elapsed, but only 14.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705941,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 93.2% of original time elapsed, but only 20.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705638,2,MEDIUM,MEDIUM,MEDIUM,1,"Overall Risk: MEDIUM

Reasons:
* Low progress near planned completion. 134.7% of original time elapsed, but only 30.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705639,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 95.2% of original time elapsed, but only 25.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705419,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (86.1% probability).

Early Warning:
Project requires closer monitoring."
705661,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (77.1% probability).

Early Warning:
Project requires closer monitoring."
705933,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (74.6% probability).

Early Warning:
Project requires closer monitoring."
611751,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 39.7% but physical progress is only 0.0% (Gap: 39.7%).
* Low progress near planned completion. 211.1% of original time elapsed, but only 0.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
612845,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 247.8% of original time elapsed, but only 10.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
613015,1,LOW,LOW,LOW,2,"Overall Risk: LOW

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 48.2% but physical progress is only 25.0% (Gap: 23.2%).
* Low progress near planned completion. 88.6% of original time elapsed, but only 25.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
617215,1,LOW,LOW,LOW,2,"Overall Risk: LOW

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 22.6% but physical progress is only 1.0% (Gap: 21.6%).
* Low progress near planned completion. 91.1% of original time elapsed, but only 1.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
617364,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 83.8% of original time elapsed, but only 15.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705356,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (85.7% probability).

Early Warning:
Project requires closer monitoring."
705497,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 100.6% but physical progress is only 47.0% (Gap: 53.6%).
* Low progress near planned completion. 134.7% of original time elapsed, but only 47.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705500,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (78.6% probability).

Early Warning:
Project requires closer monitoring."
705502,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (77.9% probability).

Early Warning:
Project requires closer monitoring."
705504,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (84.7% probability).

Early Warning:
Project requires closer monitoring."
705505,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (78.9% probability).

Early Warning:
Project requires closer monitoring."
705506,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (85.6% probability).

Early Warning:
Project requires closer monitoring."
705735,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 73.0% but physical progress is only 22.0% (Gap: 51.0%).
* Low progress near planned completion. 300.5% of original time elapsed, but only 22.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705391,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (92.4% probability).

Early Warning:
Project requires closer monitoring."
705491,2,MEDIUM,MEDIUM,MEDIUM,1,"Overall Risk: MEDIUM

Reasons:
* Low progress near planned completion. 134.1% of original time elapsed, but only 20.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705494,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (89.7% probability).

Early Warning:
Project requires closer monitoring."
705512,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (82.2% probability).

Early Warning:
Project requires closer monitoring."
400275,2,MEDIUM,LOW,MEDIUM,1,"Overall Risk: MEDIUM

Reasons:
* Low progress near planned completion. 245.3% of original time elapsed, but only 16.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
617214,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 222.3% of original time elapsed, but only 0.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705632,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (91.4% probability).

Early Warning:
Project requires closer monitoring."
705394,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (87.7% probability).

Early Warning:
Project requires closer monitoring."
705392,2,MEDIUM,LOW,HIGH,2,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (71.2% probability).
* Low progress near planned completion. 212.6% of original time elapsed, but only 45.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705375,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (72.0% probability).

Early Warning:
Project requires closer monitoring."
705385,2,MEDIUM,MEDIUM,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 65.8% but physical progress is only 40.0% (Gap: 25.8%).
* Low progress near planned completion. 643.6% of original time elapsed, but only 40.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
616699,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 116.8% of original time elapsed, but only 3.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
611669,3,HIGH,LOW,MEDIUM,2,"Overall Risk: HIGH

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 68.0% but physical progress is only 25.0% (Gap: 43.0%).
* Low progress near planned completion. 111.2% of original time elapsed, but only 25.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
617333,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 32.0% but physical progress is only 0.0% (Gap: 32.0%).
* Low progress near planned completion. 140.4% of original time elapsed, but only 0.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705562,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (89.8% probability).

Early Warning:
Project requires closer monitoring."
705617,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (93.5% probability).

Early Warning:
Project requires closer monitoring."
709815,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 99.8% of original time elapsed, but only 3.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
709816,1,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 97.6% of original time elapsed, but only 3.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
709817,1,LOW,LOW,LOW,2,"Overall Risk: LOW

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 38.7% but physical progress is only 10.0% (Gap: 28.7%).
* Low progress near planned completion. 104.3% of original time elapsed, but only 10.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705511,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (90.6% probability).

Early Warning:
Project requires closer monitoring."
705616,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (86.9% probability).

Early Warning:
Project requires closer monitoring."
705728,3,HIGH,LOW,HIGH,2,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (86.8% probability).
* Significant expenditure-progress mismatch. Expenditure is 84.2% but physical progress is only 62.2% (Gap: 22.1%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705793,4,HIGH,LOW,HIGH,2,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (85.1% probability).
* Significant expenditure-progress mismatch. Expenditure is 117.1% but physical progress is only 66.3% (Gap: 50.8%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705237,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (100.0% probability).

Early Warning:
Project requires closer monitoring."
705454,2,MEDIUM,LOW,LOW,1,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 93.0% but physical progress is only 58.0% (Gap: 35.0%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705424,2,MEDIUM,MEDIUM,MEDIUM,1,"Overall Risk: MEDIUM

Reasons:
* Low progress near planned completion. 190.3% of original time elapsed, but only 47.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705410,3,HIGH,MEDIUM,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (86.8% probability).

Early Warning:
Project requires closer monitoring."
705628,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (95.8% probability).

Early Warning:
Project requires closer monitoring."
705668,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (89.3% probability).

Early Warning:
Project requires closer monitoring."
703586,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (88.9% probability).

Early Warning:
Project requires closer monitoring."
705635,3,HIGH,LOW,HIGH,2,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (71.3% probability).
* Significant expenditure-progress mismatch. Expenditure is 86.1% but physical progress is only 59.0% (Gap: 27.1%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705457,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (81.1% probability).

Early Warning:
Project requires closer monitoring."
705507,4,HIGH,LOW,HIGH,2,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (70.8% probability).
* Significant expenditure-progress mismatch. Expenditure is 91.3% but physical progress is only 55.0% (Gap: 36.3%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705481,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (92.8% probability).

Early Warning:
Project requires closer monitoring."
705764,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (78.6% probability).

Early Warning:
Project requires closer monitoring."
705667,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (92.6% probability).

Early Warning:
Project requires closer monitoring."
705598,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (90.4% probability).

Early Warning:
Project requires closer monitoring."
705629,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (93.7% probability).

Early Warning:
Project requires closer monitoring."
400223,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (94.1% probability).

Early Warning:
Project requires closer monitoring."
705432,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (92.8% probability).

Early Warning:
Project requires closer monitoring."
602797,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 324.6% of original time elapsed, but only 15.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
400006,3,HIGH,LOW,MEDIUM,2,"Overall Risk: HIGH

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 91.9% but physical progress is only 44.0% (Gap: 47.9%).
* Low progress near planned completion. 118.7% of original time elapsed, but only 44.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
400045,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (83.1% probability).

Early Warning:
Project requires closer monitoring."
400048,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (86.3% probability).

Early Warning:
Project requires closer monitoring."
612834,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (88.8% probability).

Early Warning:
Project requires closer monitoring."
615915,3,HIGH,LOW,HIGH,2,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (73.4% probability).
* Low progress near planned completion. 508.7% of original time elapsed, but only 45.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
616694,1,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 27.8% but physical progress is only 0.0% (Gap: 27.8%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
616695,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 97.2% of original time elapsed, but only 7.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705358,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (92.3% probability).

Early Warning:
Project requires closer monitoring."
705510,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (88.8% probability).

Early Warning:
Project requires closer monitoring."
705513,2,MEDIUM,LOW,MEDIUM,1,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 85.0% but physical progress is only 56.0% (Gap: 29.0%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705514,2,MEDIUM,LOW,LOW,2,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 81.7% but physical progress is only 25.0% (Gap: 56.7%).
* Low progress near planned completion. 426.1% of original time elapsed, but only 25.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
705515,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (89.4% probability).

Early Warning:
Project requires closer monitoring."
705741,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 154.3% of original time elapsed, but only 1.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
705742,1,LOW,LOW,LOW,2,"Overall Risk: LOW

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 31.4% but physical progress is only 6.0% (Gap: 25.4%).
* Low progress near planned completion. 116.0% of original time elapsed, but only 6.0% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
