priority_rank,project_code,project_name,agency,state,physical_progress,expenditure_percent,cost_overrun_percent,time_overrun_percent,risk_score,risk_category,warnings,risk_explanation
496,706777,Baranagar-Barrackpore and Dakshineshwar- Construction of Metro Railway,RVNL - II,West Bengal,17.0,18.692776327241077,12.107989556135784,23.12469357738189,45,MEDIUM,['Predicted completion is significantly later than planned.'],Project 706777 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
497,619139,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package III from Km 9.700 to Km 14.185,NHAI,Tamil Nadu,17.24,14.879633050116983,-1.4062692402413,113.48684210526363,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619139 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
498,619138,Yekkambi-Haveri,NHAI,Karnataka,24.7,32.17704161292512,-5.345054646663394,186.10533515731905,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619138 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
499,617894,"Construction or 4 lane Raniganj Bypass of length 5.261 km on NH-60 new NH-14 from km 273.00 of NH to km 478.18 of NH-2 New NH 16 in paschim Bardhaman, West Bengal in EPC Mode- reg. Job No. 014-WB-2022-23/514",MoRTH,West Bengal,67.28,44.94316383905751,-0.864591193437528,55.73698630137002,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617894 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
500,617892,Construction of 2-lane road of Potin to Pangin section of NH-13 from Km 163.59 to Km 206.66 Package-5 on EPC Mode in the State of Arunachal Pradesh under Arunachal Pradesh Package of Roads and Highways of SARDP-NE [Job No SARDP-NE/P- P/Pkg-A/NH-13/Ar.Pr./PWD/2018-19/116],MoRTH,Arunachal Pradesh,96.61,76.55830467103073,-0.0171086208808176,88.85844748858447,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617892 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
501,617891,"Construction of Two lane with Paved Shoulder for Fatehpur Bypass Design Km 0.000 to Km 7.400 , Mandawa Bypass Design Km 20.925 to Km 27.300 & Jhunjhunu Bypass Design Km 41.625 to Km 54.689 of NH-11 on EPC Mode in the state of Rajasthan .",MoRTH,Rajasthan,100.0,35.80439100327447,4.357560792313221,116.636197440585,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617891 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
502,619095,Balance works of 4L Panvel Indapur section of NH66 old NH17 from km 42.300 kasu to km 84.600 Indapur,NHAI,Maharashtra,96.73,77.01302979284092,-10.414665837054532,152.0109689213897,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619095 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
503,619094,Thorapalli - Agraharam - Jittandahalli Section from km 23.350 to km 60.100 [Hosur to Dhamrapuri Pkg-2],NHAI,Tamil Nadu,77.57,66.57285074422832,2.5305933723071927,151.3123287671234,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619094 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
504,617889,Treatment of landslide zone from location no. 01 to 28 km 62.860 to 152.750 on NH- 12509 in the State of Uttarakhand under EPC mode in NHO Annual Plan 2022-23,MoRTH,Uttarakhand,98.5,0.0,2.124596816148119,207.65027322404373,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617889 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
505,617888,Landslide treatment work on NH 58 from Kodiyala Km. 266.130 to Devprayag Km. 296.925 10 location under EPC mode in the State of Uttarakhand on EPC Mode,MoRTH,Uttarakhand,99.0,0.0,2.294276513971116,140.71038251366116,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617888 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
506,617887,Beawer Gomti 4LPS from km 58.245 to km 108.600 Pkg-I,MoRTH,Rajasthan,100.0,54.44716926403501,-1.1599556997073084,133.4246575342466,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617887 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
507,617885,Rehabilitation and Up-gradation of Nongstoin Wahkaji section of Project Road Km 0000 to Km 43060 to Intermediate Lane with earthern shoulder under SARDP-NE Phase-A in the State of Meghalaya on EPC mode. Job No- SARDP-NE ong-Don- Maw/MG/2020-21/294,MoRTH,Meghalaya,99.62,61.99484944532488,-1.416963814051711,195.05494505494505,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617885 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
508,619093,4L Ismailabad to Ambala Section of NH-152 Lot-4/Package-1,NHAI,"Multi-States (Haryana, Punjab)",76.3,50.54815203833781,-19.46807917022266,56.89466484268122,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619093 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
509,619087,Widening to 6L of Existing 4L Jetpur - Gondal - Rajkot Section from Km. 117.600 to Km. 185.00 on NH-27,NHAI,Gujarat,76.83,53.95036803771179,-19.20289890071685,64.8071135430918,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619087 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
510,619086,Chengapalli km 102.035 to Neelambur Km144.680 and Madukkarai Km 170.880 to Walayar K183.010 Package No. NS-2/BOT/TN-08,NHAI,Tamil Nadu,100.0,0.5803932886013644,-50.4465260575743,548.774122807017,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619086 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
511,619084,Start of Karur Bypass - Dindigul from km. 292.600 to km. 305.600 Contract Package No. NS2/BOT/TN-4,National Highways Authority of India [NHAI],Tamil Nadu,100.0,9.160636131212897,-4.172162759457463,691.2880613362548,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619084 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
512,619083,Thumbipadi-Namakkal from km. 180.00 to km. 248.625 Package No. NS-2/BOT/TN- 02,National Highways Authority of India [NHAI],Tamil Nadu,100.0,80.86721715649826,-1.134856963957255,688.306010928962,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619083 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
513,619164,Belgaum-Khanapur Pkg I Km 0.000-Km 30.800 of NH-4A,NHAI,Karnataka,75.72,75.5842872436795,3.740121880919149,217.2120218579232,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619164 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
514,619059,Construction of 2-Lane with hard shoulders of Merangkong-Tamlu-Mon Road on EPC Basis from existing road Km. 76.640 to Km 98.065 Design chainage Km. 63.800 to Km. 86.835 Design Length-23.035 Km in the state of Nagaland under SARDP-NE PKG-IV Balance work,NHIDCL,Nagaland,79.03,45.48737576393604,-0.2249830236433852,59.97127222982205,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619059 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
515,617924,Construction of bypass to Nayagarh town from km 235.469 to 252.482 of NH-57 including land acquisition in the state of Odisha.,MoRTH,Odisha,100.0,27.41317883661306,-0.9697665900841348,56.34807417974324,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617924 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
516,617921,Widening and strengthening to 2LPS including LA of Kandarpur-Balikuda from km 277/500 to 318/970 of NH-55 in the State of Odisha under Annual Plan 2021-22.,MoRTH,Odisha,66.0,26.283038876328057,-0.1252325976909395,72.33515731874131,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617921 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
517,617919,Construction of 4 Nos Grade separtor between km. 281.000 to km. 307.600 km. 286.400 kumhari km. 299.000 Transport Nagar km. 302.000 Power House km. 304.000 Chandra Moura Chowk to km. 305.000 supeia of NH-53 old NH-06 Raipur - Durg 4 Lane on EPC mode in the state of chhattisgarh job NO. NH-53old NH-06 CG- 2017-18-56,MoRTH,Chhattisgarh,97.9,87.10999054522534,1.6110936022690636,274.5554035567716,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617919 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
518,617917,"Construction of 4 Lane Flyover at Nagpur RTO Chowk To Nagpur University Campus from Ch 2/250 to 5/100 and 4 lane flyover at wadi/midc junction from km 8/360 to km, 10/300 on NH 53 in state of Maharashtra.",MoRTH,Maharashtra,95.0,0.0,1.6706973247289425,108.20793433652533,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617917 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
519,617914,Upgradation and reconstruction of Shahpura-Dindori Section of NH 45 from Km 103.700 Design to Km 164.580 Design including 3 bypasses Total length 60.88km to Two lane with paved shoulder configuration along with One time improvement in 03 nos of bypassed built-up areas in a total length of 12.341 km in the State of Madhya Pradesh on EPC mode,MoRTH,Madhya Pradesh,41.25,21.050449778219956,2.644737387555512,75.13142857142891,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617914 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
520,619077,6 laning of Balance Work of Chennai - Tada from km. 21.40 to km. 54.40,NHAI,"Multi-States (Andhra Pradesh, Tamil Nadu)",100.0,83.8900606947613,-3.231780810124373,320.97286821705444,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619077 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
521,619075,6L of Bhubaneswar - Jagatpur - Chandikhole Section of NH-16,National Highways Authority of India [NHAI],Odisha,97.48,8.169873298920695,-2.478210542781224,476.6703176341731,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619075 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
522,619074,6-laning of Krishnagiri Km.0.000 to Walajahpet Km.148.300 section on NH-46 under NHDP-V,NHAI,Tamil Nadu,99.99,42.30353161962024,-36.7701727857898,505.8730853391683,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619074 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
523,617907,Rehabilitation and Up-gradation from Km 170700 Bhadrachalam to Km 234567 Konta on NH-30 to Two lane with Paved Shoulder in the State of Andra Pradesh on EPC mode.,MoRTH,Andhra Pradesh,100.0,50.72806072141071,-0.4324795340412481,83.03693570451438,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617907 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
524,617905,Construction of 4 lane ROB with approaches in lieu of LC No. RV-172 at km 176.00 of NH-201 present NH-26 at Kesinga including land acquisition in the state of Odisha on EPC mode under Annual Plan 2021-22,MoRTH,Odisha,78.0,27.30105834798976,-1.6180690548921333,92.88098495212034,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617905 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
525,617901,Widening of Pachpadra-Bagundi Section to 4 Lane from Km 73/60 to 95/70 of NH-25 on EPC mode in the state of Rajasthan.,MoRTH,Rajasthan,98.58,28.37130541871921,0.1149425287355539,78.9329685362517,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617901 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
526,617900,Upgradation to Two Lane Paved Shoulder in km 33/0 to 126/520 of NH-23 Old NH- 11B Kothun-Lalsot-Karoli-Dholpur road in the state of Rajasthan under EPC mode Length-93.52 Km.,MoRTH,Rajasthan,99.0,8.12737325960962,2.2363600026647874,83.03693570451438,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617900 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
527,617897,Construction of proposed 4Lane Revelgunj bypass NH-19 in the State of Bihar on EPC mode connecting NH 19 to 85 origin,MoRTH,Bihar,88.65,14.964097005825769,0.6675247256470651,65.09575923392597,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617897 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
528,617895,Construction of Mangaldoi Bypass NH-15 starting at Ch 26400 and terminating at Ch 41505 under Rangia NH Division L 15.105 Km in the State of Assam. Job No. 15/AS/2021-22/234,MoRTH,Assam,76.32,39.11369455918361,0.1032465469225026,79.90287277701785,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617895 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
529,619013,"Construction of Balance Work of 4-Laning of the Section from Jhanji to Demow of NH- 37 Old from Km 501.800 to Km 514.800 13.000 Km, under SARDP- NE under EPC Mode in the state of Assam Pkg-II Road Works",NHIDCL,Assam,73.88,21.853133107948743,2.7136174227534235,55.6608315098468,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619013 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
530,619071,Tumkur - Nelamangala 6L,NHAI,Karnataka,61.36,53.45274709051989,-11.209767979725866,51.5629562043796,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619071 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
531,619070,Tumkur-Chitradurga,National Highways Authority of India [NHAI],Karnataka,100.0,1.0035756853396902,-45.00388557806912,500.4529540481405,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619070 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
532,619068,Construction of Greenfield Connectivity to Jewar International Airport from DND- Faridabad-Ballabhgarh Bypass KMP Link - Spur to Delhi Mumbai Expressway,NHAI,"Multi-States (Haryana, Uttar Pradesh)",76.3,60.69353474692624,3.2471607736528965,89.46374829001373,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619068 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
533,619065,4L Expressway from Km 26.400 to km 53.500 of Malur to Bangarpet section of Bangalore-Chennai Expressway Phase-I Package-II,NHAI,Karnataka,99.8,63.237249283667616,4.415300859598973,148.67397260274004,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619065 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
534,619144,Hospet - Chitradurga from km. 299.00 to km. 418.750,National Highways Authority of India [NHAI],Karnataka,100.0,2.4149185376253524,-24.338411023083232,311.275219298246,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619144 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
535,619140,6L of Naidupeta Junction - Turpukanupur Section from km 57.046 to km 91.927,NHAI,Andhra Pradesh,53.7,27.79946241171256,-3.699393783420525,79.5225718194254,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619140 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
536,619181,Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of NH-53 Old NH 5A from Km.60.000 to Km.76.646 Package-4,NHAI,Odisha,36.02,22.286815117003794,4.843197914895947,52.62517882689579,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619181 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
537,619168,6L access controlled Greenfield highway of Junction of EPE Vill.-Mavikalan to Vill.- Lohadda from Km. 0.000 to Km. 27.000 Pkg-1,NHAI,Uttar Pradesh,99.29,88.81795716639209,-3.2202648394987072,95.74965800273633,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619168 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
538,617270,Eastern Region Expansion Scheme-44 [ERES-44],Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Bihar, West Bengal)",1.5,1.4989974079327042,-0.5822859099134573,66.17216117216131,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617270 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
539,617256,Rebuilding of Coke Oven Battery No.7 & 8 at Bhilai Steel Plant,Steel Authority of India Limited [SAIL],Chhattisgarh,94.73,78.47867888247936,4.25200769143767,51.74334898278576,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617256 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
540,619131,Four Laning of Chettikulam to Natham section of NH-785,NHAI,Tamil Nadu,99.75,76.63829228399851,1.393488616420438,282.90013679890563,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619131 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
541,617251,Revamping of Air Pollution Control Systems of SP-1 at Durgapur Steel Plant,Steel Authority of India Limited [SAIL],West Bengal,34.58,33.47250509164969,-0.0048879837067385,54.988372093023216,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617251 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
542,619045,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package IV from Km 14.185 to Km 20.593,NHAI,Tamil Nadu,8.58,7.313754770200763,-5.909150489464046,113.48684210526363,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619045 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
543,619043,Capacity Augmentation in the stretch of DhulePimpalgaon section of NH60 Km. 261.720 to Km. 380.000 by Construction of Slip/Service Road on either side at various locations total length 30.30 Km LHSRHS and Flyover 2 x 30m at Sawadgaon Phata Km. 310.415,NHAI,Maharashtra,5.1,3.190586306823171,-5.707197845622375,189.04918032786907,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619043 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
544,619038,Construction/upgradation to 2-lane with paved shoulder from Design Km 95.55 Bandarkoot to Km. 111.06 Chattroo of 15.52 Km length on Khellani-Kishtwar-Chattroo section on NH-244 in UT of Jammu and Kashmir on EPC Mode Pkg-5,NHIDCL,Jammu and Kashmir,99.97,54.481079884930296,1.0221287895550368,226.9581056466302,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619038 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
545,619029,Transmission System for Reliable Power Supply to Dholera,Power Grid Corporation of India Limited [POWERGRID],Gujarat,35.2,21.999248638156658,-0.0022853922736338,50.924908424908224,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619029 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
546,617940,"Rehabilitation and Upgradation of LB-Nagar to Malkapur section to 6-Lane main carriageway with service roads, drains cum footpath, including VUPs and widening of Minor bridge & road safety provisions from Km. 15/00 to Km 40/00 of NH-65 Old NH-9 under NH O for the year 2020-21 in the state of Telangana on EPC Mode.",MoRTH,Telangana,83.47,53.26631322118472,-0.0165287740089794,114.11491108071104,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617940 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
547,617936,Widening to two/four lane with paved shoulder from Km.180.600 to Km.223.000 of NH-63 on Nizamabad-Jagadalpur road on EPC mode under NHO in the state of Telangana.,MoRTH,Telangana,100.0,0.0,-19.53494232056385,366.986301369863,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617936 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
548,619163,4L of Baramati to Indapur Pkg-II from km. 41.400 to km. 84.550 of NH-965G Saint Tukaram Marg,NHAI,Maharashtra,86.2,72.79177881086372,-8.025759182230916,160.97808219178103,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619163 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
549,619162,4L of Najibabad Bypass from Km. 105.423 to Km. 118.373 excluding 2.45 Km. of NH- 74 Bypass of NH-119,NHAI,Uttar Pradesh,100.0,76.28282758382063,-3.8472025189438894,139.33759124087598,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619162 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
550,619160,Balance works in AP Portion and punch list items in TN & AP portion of NH-205,NHAI,Andhra Pradesh,100.0,59.164064376651446,-35.076867643526306,99.2727272727273,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619160 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
551,619155,Upgradation and 4L of Haridwar Bypass from Km 0.000 Km 188.100 of NH-58 to Km. 15.100 Km 5.100 of NH 74 PKg-1,NHAI,Uttarakhand,80.36,48.05507551984228,-7.767445052374092,106.74965800273571,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619155 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
552,619203,Vadape to Thane from km 539.202 to km 563.000 section of NH-3 new NH-848,NHAI,Maharashtra,87.0,39.257095425086995,2.771405995594314,208.23026315789505,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619203 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
553,619199,Bangalore Chennai Expressway Phase-II Pkg-I from km.71.000 to Km 96.000 Bethamangala in the state of Karnataka to Byreddypalli,NHAI,"Multi-States (Andhra Pradesh, Karnataka)",99.2,52.79537024560109,0.2696222012608859,87.27770177838579,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619199 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
554,617932,Construction of New Four Lane Bypass to Parbhani City Parwa to Asola Km 463/265 to Km 481/180 Design Ch. 19220 to Ch. 34434 Length-15.214 Km section of NH-61 on EPC mode in the State of Maharashtra.,MoRTH,Maharashtra,70.14,42.31837951030928,-0.0964884020618883,154.17467248908287,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617932 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
555,617931,Construction of ROB and its approaches in lieu of LC No. 10/B/T at Km 307.050 of NH-60.,MoRTH,West Bengal,17.08,13.21614165650863,-0.005709886443948,65.30095759233939,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617931 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
556,617929,Construction of 2 lane with paved shoulder of Kund Bypass from Design Km 35.130 to Km 47.700 existing Km 33.130 to Km 41.260 of NH-109 in the State of Uttarakhand,MoRTH,Uttarakhand,73.5,46.31987389353704,0.961278848874302,322.9357045143633,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617929 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
557,617958,Widening & Strenthening from km132.895 to km 190.15 NH-80,MoRTH,Bihar,73.21,51.91485603250309,4.025525525525424,102.79890560875496,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617958 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
558,617955,Widening to two lane with paved Shoulders from Km 40.00 to Km 75.00 Existing chainages of Mangalore - Tumkur section of NH-73 in the State of Karnataka on EPC Mode under Annual Plan 2021-22 Job No NH-73-KNT-2021-22-945,MoRTH,Karnataka,85.0,43.538106106997716,-2.460182040861873,86.74555403556761,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617955 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
559,617954,Balance work of Rehabilitation and upgrading to 2lane/2lane with paved shoulder configuration and strengthening from from Km 343.80 to 400.33 of Gowribidanur-Chik Ballapur section in the state of Karnataka Under Annual Plan 2021-22 under EPC Mode.-952,MoRTH,Karnataka,93.25,53.099277253563535,0.2200863280466507,64.28043775649783,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617954 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
560,617948,Kante - Wakad section of NH-66 4L PS from Km.281/300 to 332/200,MoRTH,Maharashtra,90.14,33.63274435249385,-0.3985506598076879,333.42465753424653,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617948 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
561,617215,Doubling between Parbhani-Parli Vaijnath stations 64.71 km PB34/CR/2023-24,CAOCON/SCR SCR mor,Maharashtra,1.0,22.638421674697703,20.37208577403115,0.053140096618443,40,MEDIUM,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 617215 is classified as MEDIUM risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
562,619184,"Rehabilitation and up-gradation and completion of balance works of the section from Km 107.760 km to 129.445 km After Middle strait to Humphrey, Km 130.600 to 138.300 After Humphrey to Kadamtala of NH-4 Intermediate/2-Lane with hard shoulder in the Union Territory of Andaman & Nicobar Islands on EPC basis Package- IIIA",NHIDCL,Andaman & Nicobar,81.95,0.0,1.390118100747254,79.99453551912559,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619184 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
563,619292,4L Medinipur to Ballupur from Km. 458.65 to Km. 487.65 of NH-07Pkg-2,NHAI,Uttarakhand,93.9,67.63015829444596,-5.002891389880177,77.49931600547184,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619292 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
564,619291,4L Poanta SahebMednipur from Km. 435.65 to km. 458.65 of NH-07Pkg-1,NHAI,"Multi-States (Himachal Pradesh, Uttarakhand)",94.25,60.96198573988638,4.90124680672584,62.675786593707386,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619291 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
565,619289,4L of Munger Mirzachauki section from Munger to Kharia village junction from Km 69520 to Km 95580 Pkg-1,NHAI,Bihar,82.72,41.29870286358077,-17.525198667317373,130.33515731874147,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619289 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
566,619217,4L of Haridwar-Nagina section from km. 0.00 to km. 71.614 of NH-74,NHAI,"Multi-States (Uttar Pradesh, Uttarakhand)",99.85,93.23557066396646,4.260143931722859,241.67763157894677,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619217 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
567,619216,6L access Controlled Greenfield Highway from Adhoya Musalmana to Sadopur section of Shamli -Ambala Package-III Design Ch. Form km 84.400 to km 121.786,NHAI,"Multi-States (Haryana, Punjab)",81.33,53.08771083045075,-15.154754243423662,81.95622435020523,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 619216 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
568,617946,Kashedi to Parshuram Ghat section of NH-66 from Km 161/600 - Km 205/400 - 4L PS,MoRTH,Maharashtra,97.5,37.412263044581756,-0.1985962087133638,320.8219178082192,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617946 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
569,617944,Kashedi ghat tunnel NH-66 [Bhogaon Khurd - Kashedi section] 4 lanes under NHDP on EPC mode,MoRTH,Maharashtra,98.37,0.0,0.4694678365151576,203.2858707557503,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617944 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
570,618959,4L Prayagraj Greenfield By-pass from design Km 50860 near Nibi Kala Uperhar to design Km 64763 on NH-19 near Khodaypur Kasgaon including Interchange loop at NH-19,National Highways Authority of India [NHAI],Uttar Pradesh,100.0,39.94145325592589,-34.18951070246267,93.42105263157896,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 618959 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
571,618958,2L with ES of Yagyi - Kalewa section from Milepost 40/0 to Milepost 115/5 in Myanmar,NHAI,Assam,52.0,0.0,-2.679604046194638,76.08562197092107,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 618958 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
572,617983,Widening & Strengthening of Existing 2LPS to 4 lane PS from Km 150000 to Km 159000 and Km 165400 to Km 186000 of NH-163 old NH-202 under NH O for the year 2020-21 on EPC Mode in the state of Telangana.,MoRTH,Telangana,91.0,60.17213657429301,-0.0021438254672953,110.020519835841,40,MEDIUM,['Predicted completion is significantly later than planned.'],Project 617983 is classified as MEDIUM risk because the projected completion date exceeds the planned schedule.
